doc_id,hybrid_mean_time,hybrid_std_time,hybrid_variance,baseline_mean_time,baseline_std_time,baseline_variance,baseline_executed
emp_01,0.004506587982177734,0.00028188618910793663,0,9.798377831776937,1.420675368568511,2,True
emp_02,0.0052678585052490234,0.00035062668249768607,0,5.838297049204509,0.6234872796247853,1,True
emp_03,0.0047444502512613935,0.00022679476741972415,0,8.721150000890097,0.6860565839764495,0,True
emp_04,0.0043871402740478516,0.0009897199479242636,0,7.626644770304362,0.6015601164510153,1,True
emp_05,0.0046053727467854815,0.0002819809840597959,0,8.541602293650309,0.5137817249952654,1,True
emp_06,0.0039110978444417315,0.00018851724534710054,0,9.247532367706299,2.701586523172701,0,True
emp_07,0.004348595937093099,0.000579185731931901,0,6.423919916152954,1.082754491699719,0,True
emp_08,0.00612942377726237,0.0016264155726702337,0,7.508656660715739,0.3507120231193955,2,True
emp_09,0.003828128178914388,0.00030650656464004306,0,5.817725658416748,1.7245859971892925,1,True
emp_10,0.007290760676066081,0.0010258254186984426,0,8.728807846705118,0.4502651997561131,1,True
emp_11,0.003969828287760417,0.0010958411531901701,0,6.251036326090495,0.24133308575732487,1,True
emp_12,0.0038433074951171875,0.00017564638311068584,0,6.818224509557088,0.35158874627261444,0,True
emp_13,0.004350105921427409,0.0005659996977500237,0,8.360716501871744,0.7066753166681101,1,True
emp_14,0.01928234100341797,0.025865293012171716,0,9.282186508178711,0.6895792931511829,2,True
emp_15,0.004277229309082031,0.0006978891379952304,0,5.873667399088542,1.3306484312368552,1,True
emp_16,0.0044507185618082685,0.0007116432090187636,0,9.39651894569397,3.200250183274922,1,True
emp_17,0.004347562789916992,0.0011240547778170816,0,8.302100658416748,0.4455148486167257,1,True
emp_18,0.004990498224894206,0.00117289344116395,0,10.109981139500936,1.2646356199518356,0,True
emp_19,0.003560940424601237,0.00016529860015335039,0,6.902008851369222,0.9637757888442592,0,True
emp_20,0.004315535227457683,0.00026446911573903915,0,7.836641311645508,0.509790733730145,0,True
lic_01,0.0049292246500651045,0.0007522452770133264,0,7.482485214869182,0.9711742235234816,0,True
lic_02,0.004237651824951172,0.0002376231993046474,0,6.115811030069987,0.6238196180175208,1,True
lic_03,0.005656719207763672,0.0009650696100838951,0,7.992241541544597,1.0420322886696805,2,True
lic_04,0.004262447357177734,0.00037956904220960583,0,6.147608915964763,0.7096740696779372,0,True
lic_05,0.005841175715128581,0.0010292362534007433,0,7.941790342330933,0.6964455798890327,0,True
lic_06,0.004766066869099935,0.000376348793252255,0,9.401023546854654,1.7838879203320426,1,True
