doc_id,fp_on,fn_on,fp_off,fn_off,note
synthetic_01,1,0,,,Suppression OFF not available without core engine modification
synthetic_02,1,0,,,Suppression OFF not available without core engine modification
synthetic_03,1,0,,,Suppression OFF not available without core engine modification
synthetic_04,1,1,,,Suppression OFF not available without core engine modification
synthetic_05,1,1,,,Suppression OFF not available without core engine modification
synthetic_06,1,1,,,Suppression OFF not available without core engine modification
synthetic_07,1,1,,,Suppression OFF not available without core engine modification
synthetic_08,1,1,,,Suppression OFF not available without core engine modification
synthetic_09,1,0,,,Suppression OFF not available without core engine modification
synthetic_10,1,0,,,Suppression OFF not available without core engine modification
synthetic_11,1,0,,,Suppression OFF not available without core engine modification
synthetic_12,1,0,,,Suppression OFF not available without core engine modification
synthetic_13,1,0,,,Suppression OFF not available without core engine modification
synthetic_14,1,0,,,Suppression OFF not available without core engine modification
synthetic_15,0,0,,,Suppression OFF not available without core engine modification
